gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,invt,lct,lt,ni,re,revt,costat,prcc_c
027965,20210331,2020,INDL,C,D,STD,MCHP,USD,2145.2000,16478.8000,5337.1000,1881.0000,273.5290,665.0000,2409.6000,11141.7000,349.4000,3367.3000,5438.4000,A,138.1100
027981,20210131,2020,INDL,C,D,STD,CHS,USD,402.0380,1274.8780,165.1190,998.0240,119.7350,203.9830,431.7860,1109.7590,-360.1440,159.8290,1324.0510,A,1.5900
028012,20211231,2021,INDL,C,D,STD,FLGT,USD,611.9600,1278.7200,1158.7490,206.2370,30.1600,12.2060,105.3100,112.8400,507.3640,656.8380,992.5840,A,100.5900
028022,20211231,2021,INDL,C,D,STD,BANF,USD,,9405.6120,1171.7340,2.6740,32.6030,64.2510,,8233.8780,167.6300,979.2170,489.7530,A,70.5600
028034,20211231,2021,INDL,C,D,STD,CB,USD,,200054.0000,59714.0000,33039.0000,426.5730,0.0000,,140340.0000,8539.0000,47715.0000,40615.0000,A,193.3100
028070,20211231,2021,INDL,C,D,STD,ASIX,USD,349.8540,1311.9990,601.1900,1352.9980,28.1400,149.5700,309.8220,710.8090,139.7910,404.9770,1684.6250,A,47.2500
028071,20211231,2021,INDL,C,D,STD,DZSI,USD,214.9760,257.6680,131.9070,229.2700,27.5050,56.8930,90.4780,125.7610,-34.6830,-91.4560,350.2060,A,16.2200
028084,20210131,2020,INDL,C,D,STD,COUP,USD,854.2510,3105.1650,1040.2310,168.3880,72.7540,0.0000,1061.5070,2064.5650,-180.1170,232.5690,541.6430,A,338.9100
028118,20211231,2021,INDL,C,D,STD,FOSL,USD,1022.7550,1368.7190,463.2260,874.0560,52.1460,346.8500,535.6470,903.3610,25.4340,161.8570,1870.0360,A,10.2900
028139,20210930,2021,INDL,C,D,STD,SANM,USD,3281.6640,4206.7190,1878.6280,6095.1820,64.3070,1036.5110,1762.9870,2328.0910,268.9980,-3413.6760,6756.6430,A,41.4600
028155,20211231,2021,INDL,C,D,STD,TCBK,USD,,8614.7870,1000.1840,-1.2670,29.7300,6.0600,,7614.6030,117.6550,467.9400,340.7110,A,42.9600
